pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3
250929_205022,8,3,-0.364793,0.7083,3.417,1.657,-133.788,-6.78601,2.55689,5.79857,50.0,-0.176108,-15.7195,33.6586,-4.18979,L,2.8067,False,4,1,0,2,0,8,0,0,53892,R,SK,이로운,62931,LT,9,노진혁,True,직구,148,H,False,32,우익수 앞 1루타,우안,9,8,0
250929_205144,8,1,0.535444,0.7083,3.318,1.609,-123.173,-3.56865,3.13449,6.00918,50.0,-0.245825,-6.05211,24.6481,-17.3095,R,2.9411,False,4,1,1,0,0,9,8,0,53892,R,SK,이로운,52568,LT,1,한태양,True,슬라이더,136,F,False,44,중견수 앞 1루타,중안,1,9,0
250929_205205,8,2,1.31833,0.7083,3.318,1.609,-111.409,-4.87432,7.52303,5.74959,50.0,-0.288595,-17.5024,21.7844,-23.1642,R,0.8933,False,4,1,1,1,0,9,8,0,53892,R,SK,이로운,52568,LT,1,한태양,True,체인지업,123,B,True,15,중견수 앞 1루타,중안,1,9,0
250929_205224,8,3,1.29127,0.7083,3.318,1.609,-124.82,-4.39326,4.82759,5.83563,50.0,-0.227946,-5.48293,22.8182,-19.5994,R,2.3068,False,4,1,1,2,0,9,8,0,53892,R,SK,이로운,52568,LT,1,한태양,True,슬라이더,138,B,True,35,중견수 앞 1루타,중안,1,9,0
250929_205245,8,4,0.282036,0.7083,3.318,1.609,-123.706,-4.22502,3.02666,5.86291,50.0,-0.527067,-5.17156,21.3133,-19.096,R,2.4123,False,4,1,1,2,0,9,8,0,53892,R,SK,이로운,52568,LT,1,한태양,True,슬라이더,137,H,False,34,중견수 앞 1루타,중안,1,9,0
250929_205440,8,1,0.052389,0.7083,3.457,1.677,-134.058,-8.16598,3.63493,5.72595,50.0,-0.345304,-13.4877,33.5497,-7.85225,L,1.9191,False,4,2,0,0,0,1,9,0,53892,R,SK,이로운,69517,LT,2,고승민,True,직구,148,H,False,23,중견수 플라이 아웃,중비,1,0,0
250929_205542,8,1,0.093117,0.7083,3.579,1.736,-134.271,-7.21424,3.17425,5.78664,50.0,-0.251643,-11.8687,29.6798,-6.42959,L,2.4927,False,4,2,0,0,2,1,0,0,53892,R,SK,이로운,54529,LT,3,레이예스,True,직구,149,H,False,33,좌익수 플라이 아웃,좌비,1,0,0
250929_205822,8,1,0.832362,0.7083,3.397,1.647,-108.574,-1.601,2.59372,5.96654,50.0,-0.913965,4.39982,23.5207,-34.4214,R,1.1213,True,4,2,1,0,0,0,0,0,76430,R,LT,김상수,51868,SK,5,고명준,False,커브,120,S,True,15,1루수 땅볼 아웃 (1루수 1루 터치아웃),1땅,0,0,0
250929_205838,8,2,1.71506,0.7083,3.397,1.647,-118.448,-1.08755,6.22272,5.89959,50.0,-0.955036,-0.516478,25.8854,-24.1409,R,3.0415,True,4,2,1,1,0,0,0,0,76430,R,LT,김상수,51868,SK,5,고명준,False,슬라이더,131,B,True,45,1루수 땅볼 아웃 (1루수 1루 터치아웃),1땅,0,0,0
250929_205852,8,3,1.2839,0.7083,3.397,1.647,-129.111,-5.97345,8.32227,5.58536,50.0,-0.865486,-14.783,31.3028,-9.57266,R,2.3575,True,4,2,1,2,0,0,0,0,76430,R,LT,김상수,51868,SK,5,고명준,False,직구,143,B,True,35,1루수 땅볼 아웃 (1루수 1루 터치아웃),1땅,0,0,0
