pitch_id,inning,ball_count,plate_x_ft,plate_y_ft,strikezone_top,strikezone_btm,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,batter_stance,plate_z_ft,is_batter_home,home_score,away_score,strike,ball,out,base1,base2,base3,pitcher_id,pitcher_stance,pitcher_team_code,pitcher_name,batter_id,batter_team_code,batter_lineup_pos,batter_name,is_throwing_stretch,pitch_type,pitch_speed_kph,pitch_result,is_outside_boundary,zone_5x5_id,pa_result_long,pa_result_short,pa_result_base1,pa_result_base2,pa_result_base3,pa_result_runs
250913_174629,2,3,-0.520788,0.7083,3.508,1.702,-128.614,0.471003,6.64221,5.94812,50.0,-2.03143,-14.3369,28.082,-29.3706,L,3.7092,False,1,5,0,3,2,1,0,0,52530,R,LT,이민석,62895,SK,4,한유섬,True,체인지업,142,B,True,52,볼넷,4구,4,1,0,0
250913_174655,2,4,-0.404524,0.7083,3.508,1.702,-134.214,1.62669,6.66004,5.76386,50.0,-2.19286,-10.3344,25.9973,-32.7166,L,3.9429,False,1,5,0,4,2,1,0,0,52530,R,LT,이민석,62895,SK,4,한유섬,True,직구,149,B,True,52,볼넷,4구,4,1,0,0
250913_174738,2,1,-0.798327,0.7083,3.572,1.733,-122.72,-3.63511,2.43865,5.80518,50.0,-2.16307,3.94702,23.1331,-32.0749,R,1.3737,False,1,5,0,1,2,4,1,0,52530,R,LT,이민석,50868,SK,5,류효승,True,슬라이더,137,B,False,11,볼넷,4구,5,4,1,0
250913_174758,2,2,-0.527729,0.7083,3.572,1.733,-122.833,-1.49116,5.60301,5.65516,50.0,-2.46521,-4.63371,23.5764,-37.4117,R,1.6542,False,1,5,1,1,2,4,1,0,52530,R,LT,이민석,50868,SK,5,류효승,True,슬라이더,137,F,False,12,볼넷,4구,5,4,1,0
250913_174830,2,3,0.848017,0.7083,3.572,1.733,-134.391,1.88718,8.51522,5.76958,50.0,-2.01396,-5.15653,24.2084,-35.2339,R,3.8799,False,1,5,1,2,2,4,1,0,52530,R,LT,이민석,50868,SK,5,류효승,True,직구,150,B,True,55,볼넷,4구,5,4,1,0
250913_174855,2,4,-1.16613,0.7083,3.572,1.733,-124.752,2.53809,1.3106,5.92652,50.0,-2.24721,6.29566,27.1367,-34.9342,R,3.9116,False,1,5,1,3,2,4,1,0,52530,R,LT,이민석,50868,SK,5,류효승,True,슬라이더,139,B,True,51,볼넷,4구,5,4,1,0
250913_174919,2,5,1.00978,0.7083,3.572,1.733,-135.126,-4.59229,9.4125,5.59464,50.0,-1.84358,-9.74746,22.467,-26.5608,R,1.9,False,1,5,1,4,2,4,1,0,52530,R,LT,이민석,50868,SK,5,류효승,True,직구,151,B,True,25,볼넷,4구,5,4,1,0
250913_175239,2,1,-1.20229,0.7083,3.311,1.606,-128.821,-3.39184,0.331106,5.7862,50.0,-0.514785,-10.3466,24.917,-24.7798,L,2.3948,False,1,5,0,0,2,5,4,1,69594,R,LT,박진,50854,SK,6,최지훈,True,직구,143,H,True,31,유격수 앞 땅볼로 출루,유땅,6,4,1,0
250913_175440,2,1,0.697201,0.7083,3.36,1.63,-119.832,2.84435,-0.680703,6.04448,50.0,1.22805,-2.58016,23.928,-27.0041,R,4.7157,True,1,5,0,1,0,0,0,0,77829,L,SK,김광현,50150,LT,7,손호영,False,슬라이더,132,B,True,54,볼넷,4구,7,0,0,0
250913_175453,2,2,-0.32978,0.7083,3.36,1.63,-118.883,-4.64744,-3.23781,5.67928,50.0,1.1666,-1.04877,22.0679,-27.2532,R,1.0225,True,1,5,1,1,0,0,0,0,77829,L,SK,김광현,50150,LT,7,손호영,False,슬라이더,131,S,True,12,볼넷,4구,7,0,0,0
250913_175508,2,3,1.45895,0.7083,3.36,1.63,-130.448,-3.80077,-0.886905,5.71748,50.0,1.17038,8.19948,28.1547,-17.8106,R,2.7656,True,1,5,1,2,0,0,0,0,77829,L,SK,김광현,50150,LT,7,손호영,False,직구,144,B,True,35,볼넷,4구,7,0,0,0
250913_175523,2,4,-1.01386,0.7083,3.36,1.63,-116.533,-5.06273,-6.86005,5.60373,50.0,0.870949,11.7093,20.3834,-22.8354,R,1.067,True,1,5,1,3,0,0,0,0,77829,L,SK,김광현,50150,LT,7,손호영,False,체인지업,129,B,False,11,볼넷,4구,7,0,0,0
250913_175538,2,5,0.645692,0.7083,3.36,1.63,-116.85,-0.355817,-0.238187,5.95497,50.0,1.11314,-3.84854,16.0845,-24.674,R,3.3953,True,1,5,2,3,0,0,0,0,77829,L,SK,김광현,50150,LT,7,손호영,False,슬라이더,130,T,True,54,볼넷,4구,7,0,0,0
